,name,des,count_des,clean_des,count_clean,split_des,lemmatize_text,count_lem,text_remove_stopwords,count_stop,final
0,Compostable AirPods Case,"Driven to reduce our world-wide dependence on petroleum, Jeremy Lang designed a creative alternative to a product we use every day. Pela’s phone cases are created using an innovative toxin-free, child-safe plant based material called Flaxstic. With beautiful, simple colors to choose from, you’ll be able to show your sustainable style in an elegant way. As a company, they’re striving towards constant improvement, aiming to reach better and more sustainable practices as they grow! By bringing an eco-friendly option to a product that we see and use regularly, they hope to play a part in bringing sustainability into the forefront of our everyday lives. ",104,driven to reduce our world wide dependence on petroleum jeremy lang designed creative alternative to product we use every day pela phone cases are created using an innovative toxin free child safe plant based material called flaxstic with beautiful simple colors to choose from you ll be able to show your sustainable style in an elegant way as company they re striving towards constant improvement aiming to reach better and more sustainable practices as they grow by bringing an eco friendly option to product that we see and use regularly they hope to play part in bringing sustainability into the forefront of our everyday lives,105,"['driven', 'to', 'reduce', 'our', 'world', 'wide', 'dependence', 'on', 'petroleum', 'jeremy', 'lang', 'designed', 'creative', 'alternative', 'to', 'product', 'we', 'use', 'every', 'day', 'pela', 'phone', 'cases', 'are', 'created', 'using', 'an', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'based', 'material', 'called', 'flaxstic', 'with', 'beautiful', 'simple', 'colors', 'to', 'choose', 'from', 'you', 'll', 'be', 'able', 'to', 'show', 'your', 'sustainable', 'style', 'in', 'an', 'elegant', 'way', 'as', 'company', 'they', 're', 'striving', 'towards', 'constant', 'improvement', 'aiming', 'to', 'reach', 'better', 'and', 'more', 'sustainable', 'practices', 'as', 'they', 'grow', 'by', 'bringing', 'an', 'eco', 'friendly', 'option', 'to', 'product', 'that', 'we', 'see', 'and', 'use', 'regularly', 'they', 'hope', 'to', 'play', 'part', 'in', 'bringing', 'sustainability', 'into', 'the', 'forefront', 'of', 'our', 'everyday', 'lives']","['drive', 'to', 'reduce', 'our', 'world', 'wide', 'dependence', 'on', 'petroleum', 'jeremy', 'lang', 'design', 'creative', 'alternative', 'to', 'product', 'we', 'use', 'every', 'day', 'pela', 'phone', 'case', 'be', 'create', 'use', 'an', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'base', 'material', 'call', 'flaxstic', 'with', 'beautiful', 'simple', 'color', 'to', 'choose', 'from', 'you', 'll', 'be', 'able', 'to', 'show', 'your', 'sustainable', 'style', 'in', 'an', 'elegant', 'way', 'a', 'company', 'they', 're', 'strive', 'towards', 'constant', 'improvement', 'aim', 'to', 'reach', 'good', 'and', 'more', 'sustainable', 'practice', 'a', 'they', 'grow', 'by', 'bring', 'an', 'eco', 'friendly', 'option', 'to', 'product', 'that', 'we', 'see', 'and', 'use', 'regularly', 'they', 'hope', 'to', 'play', 'part', 'in', 'bring', 'sustainability', 'into', 'the', 'forefront', 'of', 'our', 'everyday', 'life']",105,"['drive', 'reduce', 'world', 'wide', 'dependence', 'petroleum', 'jeremy', 'lang', 'design', 'creative', 'alternative', 'product', 'use', 'day', 'pela', 'phone', 'case', 'create', 'use', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'base', 'material', 'flaxstic', 'beautiful', 'simple', 'color', 'choose', 'll', 'able', 'sustainable', 'style', 'elegant', 'way', 'company', 'strive', 'constant', 'improvement', 'aim', 'reach', 'good', 'sustainable', 'practice', 'grow', 'bring', 'eco', 'friendly', 'option', 'product', 'use', 'regularly', 'hope', 'play', 'bring', 'sustainability', 'forefront', 'everyday', 'life']",62,drive reduce world wide dependence petroleum jeremy lang design creative alternative product use day pela phone case create use innovative toxin free child safe plant base material flaxstic beautiful simple color choose ll able sustainable style elegant way company strive constant improvement aim reach good sustainable practice grow bring eco friendly option product use regularly hope play bring sustainability forefront everyday life
1,Slim Wooden Phone Wireless Charger,"What began in the mountains of Poland as one family’s shared tradition, has now blossomed into flourishing eco-business! Mateusz Haberny’s entrepreneurial vision, woodworking background, and creative spirit quickly turned hobby into a collection of quality products. ",36,what began in the mountains of poland as one family shared tradition has now blossomed into flourishing eco business mateusz haberny entrepreneurial vision woodworking background and creative spirit quickly turned hobby into collection of quality products,36,"['what', 'began', 'in', 'the', 'mountains', 'of', 'poland', 'as', 'one', 'family', 'shared', 'tradition', 'has', 'now', 'blossomed', 'into', 'flourishing', 'eco', 'business', 'mateusz', 'haberny', 'entrepreneurial', 'vision', 'woodworking', 'background', 'and', 'creative', 'spirit', 'quickly', 'turned', 'hobby', 'into', 'collection', 'of', 'quality', 'products']","['what', 'begin', 'in', 'the', 'mountain', 'of', 'poland', 'a', 'one', 'family', 'share', 'tradition', 'ha', 'now', 'blossom', 'into', 'flourish', 'eco', 'business', 'mateusz', 'haberny', 'entrepreneurial', 'vision', 'woodworking', 'background', 'and', 'creative', 'spirit', 'quickly', 'turn', 'hobby', 'into', 'collection', 'of', 'quality', 'product']",36,"['begin', 'mountain', 'poland', 'family', 'share', 'tradition', 'ha', 'blossom', 'flourish', 'eco', 'business', 'mateusz', 'haberny', 'entrepreneurial', 'vision', 'woodworking', 'background', 'creative', 'spirit', 'quickly', 'turn', 'hobby', 'collection', 'quality', 'product']",25,begin mountain poland family share tradition ha blossom flourish eco business mateusz haberny entrepreneurial vision woodworking background creative spirit quickly turn hobby collection quality product
2,USB-C Wall Charger,"Charge quickly at home with the USB-C Wall Charger from Nimble! Made from recyclable TPE, this fast wall charger has 18W PD, and is compatible with USB-C devices. It is BPA and PVC free, and provides the highest quality charging experience without risk of overheating or overcharging. Plus, Nimble donates 1% of sales to environmental non-profits!",56,charge quickly at home with the usb wall charger from nimble made from recyclable tpe this fast wall charger has pd and is compatible with usb devices it is bpa and pvc free and provides the highest quality charging experience without risk of overheating or overcharging plus nimble donates of sales to environmental non profits,55,"['charge', 'quickly', 'at', 'home', 'with', 'the', 'usb', 'wall', 'charger', 'from', 'nimble', 'made', 'from', 'recyclable', 'tpe', 'this', 'fast', 'wall', 'charger', 'has', 'pd', 'and', 'is', 'compatible', 'with', 'usb', 'devices', 'it', 'is', 'bpa', 'and', 'pvc', 'free', 'and', 'provides', 'the', 'highest', 'quality', 'charging', 'experience', 'without', 'risk', 'of', 'overheating', 'or', 'overcharging', 'plus', 'nimble', 'donates', 'of', 'sales', 'to', 'environmental', 'non', 'profits']","['charge', 'quickly', 'at', 'home', 'with', 'the', 'usb', 'wall', 'charger', 'from', 'nimble', 'make', 'from', 'recyclable', 'tpe', 'this', 'fast', 'wall', 'charger', 'ha', 'pd', 'and', 'be', 'compatible', 'with', 'usb', 'device', 'it', 'be', 'bpa', 'and', 'pvc', 'free', 'and', 'provide', 'the', 'high', 'quality', 'charge', 'experience', 'without', 'risk', 'of', 'overheat', 'or', 'overcharge', 'plus', 'nimble', 'donate', 'of', 'sale', 'to', 'environmental', 'non', 'profit']",55,"['charge', 'quickly', 'home', 'usb', 'wall', 'charger', 'nimble', 'make', 'recyclable', 'tpe', 'fast', 'wall', 'charger', 'ha', 'pd', 'compatible', 'usb', 'device', 'bpa', 'pvc', 'free', 'provide', 'high', 'quality', 'charge', 'experience', 'risk', 'overheat', 'overcharge', 'plus', 'nimble', 'donate', 'sale', 'environmental', 'non', 'profit']",36,charge quickly home usb wall charger nimble make recyclable tpe fast wall charger ha pd compatible usb device bpa pvc free provide high quality charge experience risk overheat overcharge plus nimble donate sale environmental non profit
3,Zero Waste Liquid Screen Protector,"Protect your phone, camera, tablet, or other device with the Zero Waste Liquid Screen Protector from Pela Case! Made from an eco-friendly ethanol based blend, this high-tech liquid fills in the pores of your glass screen to create a thin yet strong layer of glass on the surface that reduces finger smudges and protects from dents, scratches, and drops. Easy to apply and long-lasting, this liquid screen protector comes in a reusable and recyclable glass vial with a cork stopper. Plus, Pela Case isRead More a proud member of 1% for the Planet, donating 1% of profits towards environmental organizations who are working hard to better the planet!",108,protect your phone camera tablet or other device with the zero waste liquid screen protector from pela case made from an eco friendly ethanol based blend this high tech liquid fills in the pores of your glass screen to create thin yet strong layer of glass on the surface that reduces finger smudges and protects from dents scratches and drops easy to apply and long lasting this liquid screen protector comes in reusable and recyclable glass vial with cork stopper plus pela case isread more proud member of for the planet donating of profits towards environmental organizations who are working hard to better the planet,105,"['protect', 'your', 'phone', 'camera', 'tablet', 'or', 'other', 'device', 'with', 'the', 'zero', 'waste', 'liquid', 'screen', 'protector', 'from', 'pela', 'case', 'made', 'from', 'an', 'eco', 'friendly', 'ethanol', 'based', 'blend', 'this', 'high', 'tech', 'liquid', 'fills', 'in', 'the', 'pores', 'of', 'your', 'glass', 'screen', 'to', 'create', 'thin', 'yet', 'strong', 'layer', 'of', 'glass', 'on', 'the', 'surface', 'that', 'reduces', 'finger', 'smudges', 'and', 'protects', 'from', 'dents', 'scratches', 'and', 'drops', 'easy', 'to', 'apply', 'and', 'long', 'lasting', 'this', 'liquid', 'screen', 'protector', 'comes', 'in', 'reusable', 'and', 'recyclable', 'glass', 'vial', 'with', 'cork', 'stopper', 'plus', 'pela', 'case', 'isread', 'more', 'proud', 'member', 'of', 'for', 'the', 'planet', 'donating', 'of', 'profits', 'towards', 'environmental', 'organizations', 'who', 'are', 'working', 'hard', 'to', 'better', 'the', 'planet']","['protect', 'your', 'phone', 'camera', 'tablet', 'or', 'other', 'device', 'with', 'the', 'zero', 'waste', 'liquid', 'screen', 'protector', 'from', 'pela', 'case', 'make', 'from', 'an', 'eco', 'friendly', 'ethanol', 'base', 'blend', 'this', 'high', 'tech', 'liquid', 'fill', 'in', 'the', 'pore', 'of', 'your', 'glass', 'screen', 'to', 'create', 'thin', 'yet', 'strong', 'layer', 'of', 'glass', 'on', 'the', 'surface', 'that', 'reduce', 'finger', 'smudge', 'and', 'protect', 'from', 'dent', 'scratch', 'and', 'drop', 'easy', 'to', 'apply', 'and', 'long', 'last', 'this', 'liquid', 'screen', 'protector', 'come', 'in', 'reusable', 'and', 'recyclable', 'glass', 'vial', 'with', 'cork', 'stopper', 'plus', 'pela', 'case', 'isread', 'more', 'proud', 'member', 'of', 'for', 'the', 'planet', 'donate', 'of', 'profit', 'towards', 'environmental', 'organization', 'who', 'be', 'work', 'hard', 'to', 'good', 'the', 'planet']",105,"['protect', 'phone', 'camera', 'tablet', 'device', 'zero', 'waste', 'liquid', 'screen', 'protector', 'pela', 'case', 'make', 'eco', 'friendly', 'ethanol', 'base', 'blend', 'high', 'tech', 'liquid', 'pore', 'glass', 'screen', 'create', 'strong', 'layer', 'glass', 'surface', 'reduce', 'finger', 'smudge', 'protect', 'dent', 'scratch', 'drop', 'easy', 'apply', 'long', 'liquid', 'screen', 'protector', 'come', 'reusable', 'recyclable', 'glass', 'vial', 'cork', 'stopper', 'plus', 'pela', 'case', 'isread', 'proud', 'member', 'planet', 'donate', 'profit', 'environmental', 'organization', 'work', 'hard', 'good', 'planet']",64,protect phone camera tablet device zero waste liquid screen protector pela case make eco friendly ethanol base blend high tech liquid pore glass screen create strong layer glass surface reduce finger smudge protect dent scratch drop easy apply long liquid screen protector come reusable recyclable glass vial cork stopper plus pela case isread proud member planet donate profit environmental organization work hard good planet
4,Recycled Bamboo Chopsticks Tablet Stand,"You wont realize how bad you need ChopValue's tablet stand until you have one for yourself! Prop up your tablet for a movie on the airplane, use it as a cookbook in the kitchen, try it out to read a book in bed, the possibilities are endless! Not only will you love the functionality, the 500 recycled bamboo chopsticks that created your tablet stand make it into a stylish and unique item.",72,you wont realize how bad you need chopvalue tablet stand until you have one for yourself prop up your tablet for movie on the airplane use it as cookbook in the kitchen try it out to read book in bed the possibilities are endless not only will you love the functionality the recycled bamboo chopsticks that created your tablet stand make it into stylish and unique item,67,"['you', 'wont', 'realize', 'how', 'bad', 'you', 'need', 'chopvalue', 'tablet', 'stand', 'until', 'you', 'have', 'one', 'for', 'yourself', 'prop', 'up', 'your', 'tablet', 'for', 'movie', 'on', 'the', 'airplane', 'use', 'it', 'as', 'cookbook', 'in', 'the', 'kitchen', 'try', 'it', 'out', 'to', 'read', 'book', 'in', 'bed', 'the', 'possibilities', 'are', 'endless', 'not', 'only', 'will', 'you', 'love', 'the', 'functionality', 'the', 'recycled', 'bamboo', 'chopsticks', 'that', 'created', 'your', 'tablet', 'stand', 'make', 'it', 'into', 'stylish', 'and', 'unique', 'item']","['you', 'wont', 'realize', 'how', 'bad', 'you', 'need', 'chopvalue', 'tablet', 'stand', 'until', 'you', 'have', 'one', 'for', 'yourself', 'prop', 'up', 'your', 'tablet', 'for', 'movie', 'on', 'the', 'airplane', 'use', 'it', 'a', 'cookbook', 'in', 'the', 'kitchen', 'try', 'it', 'out', 'to', 'read', 'book', 'in', 'bed', 'the', 'possibility', 'be', 'endless', 'not', 'only', 'will', 'you', 'love', 'the', 'functionality', 'the', 'recycle', 'bamboo', 'chopstick', 'that', 'create', 'your', 'tablet', 'stand', 'make', 'it', 'into', 'stylish', 'and', 'unique', 'item']",67,"['wont', 'realize', 'bad', 'need', 'chopvalue', 'tablet', 'stand', 'prop', 'tablet', 'movie', 'airplane', 'use', 'cookbook', 'kitchen', 'try', 'read', 'book', 'bed', 'possibility', 'endless', 'love', 'functionality', 'recycle', 'bamboo', 'chopstick', 'create', 'tablet', 'stand', 'make', 'stylish', 'unique', 'item']",32,wont realize bad need chopvalue tablet stand prop tablet movie airplane use cookbook kitchen try read book bed possibility endless love functionality recycle bamboo chopstick create tablet stand make stylish unique item
5,Apollo Single Wireless Charging Pad,"Wirelessly charge all your devices with the Apollo Single Wireless Charging Pad from Nimble! Made from eco-friendly materials like RePlay™ Certified Recycled Plastic and recycled silicone, this device charges newer iPhones, Samsung's, Androids, AirPods (2nd Generation) and Google Pixel 3 on contact. Simply plug it in, lay your device down, and watch it quickly fill up! Plus, like all Nimble Products, this charging pad is Climate Neutral Certified and supports environmental non-profits through Read More1% for the Planet!",78,wirelessly charge all your devices with the apollo single wireless charging pad from nimble made from eco friendly materials like replay certified recycled plastic and recycled silicone this device charges newer iphones samsung androids airpods nd generation and google pixel on contact simply plug it in lay your device down and watch it quickly fill up plus like all nimble products this charging pad is climate neutral certified and supports environmental non profits through read more for the planet,79,"['wirelessly', 'charge', 'all', 'your', 'devices', 'with', 'the', 'apollo', 'single', 'wireless', 'charging', 'pad', 'from', 'nimble', 'made', 'from', 'eco', 'friendly', 'materials', 'like', 'replay', 'certified', 'recycled', 'plastic', 'and', 'recycled', 'silicone', 'this', 'device', 'charges', 'newer', 'iphones', 'samsung', 'androids', 'airpods', 'nd', 'generation', 'and', 'google', 'pixel', 'on', 'contact', 'simply', 'plug', 'it', 'in', 'lay', 'your', 'device', 'down', 'and', 'watch', 'it', 'quickly', 'fill', 'up', 'plus', 'like', 'all', 'nimble', 'products', 'this', 'charging', 'pad', 'is', 'climate', 'neutral', 'certified', 'and', 'supports', 'environmental', 'non', 'profits', 'through', 'read', 'more', 'for', 'the', 'planet']","['wirelessly', 'charge', 'all', 'your', 'device', 'with', 'the', 'apollo', 'single', 'wireless', 'charge', 'pad', 'from', 'nimble', 'make', 'from', 'eco', 'friendly', 'material', 'like', 'replay', 'certify', 'recycle', 'plastic', 'and', 'recycle', 'silicone', 'this', 'device', 'charge', 'new', 'iphones', 'samsung', 'android', 'airpods', 'nd', 'generation', 'and', 'google', 'pixel', 'on', 'contact', 'simply', 'plug', 'it', 'in', 'lay', 'your', 'device', 'down', 'and', 'watch', 'it', 'quickly', 'fill', 'up', 'plus', 'like', 'all', 'nimble', 'product', 'this', 'charge', 'pad', 'be', 'climate', 'neutral', 'certify', 'and', 'support', 'environmental', 'non', 'profit', 'through', 'read', 'more', 'for', 'the', 'planet']",79,"['wirelessly', 'charge', 'device', 'apollo', 'single', 'wireless', 'charge', 'pad', 'nimble', 'make', 'eco', 'friendly', 'material', 'like', 'replay', 'certify', 'recycle', 'plastic', 'recycle', 'silicone', 'device', 'charge', 'new', 'iphones', 'samsung', 'android', 'airpods', 'nd', 'generation', 'google', 'pixel', 'contact', 'simply', 'plug', 'lay', 'device', 'watch', 'quickly', 'plus', 'like', 'nimble', 'product', 'charge', 'pad', 'climate', 'neutral', 'certify', 'support', 'environmental', 'non', 'profit', 'read', 'planet']",53,wirelessly charge device apollo single wireless charge pad nimble make eco friendly material like replay certify recycle plastic recycle silicone device charge new iphones samsung android airpods nd generation google pixel contact simply plug lay device watch quickly plus like nimble product charge pad climate neutral certify support environmental non profit read planet
6,Positive Vibration 2 Bluetooth On-Ear Headphones,"Superior sound, sustainably crafted.",4,superior sound sustainably crafted,4,"['superior', 'sound', 'sustainably', 'crafted']","['superior', 'sound', 'sustainably', 'craft']",4,"['superior', 'sound', 'sustainably', 'craft']",4,superior sound sustainably craft
7,Dual Wireless Charging Pad,"Charge your devices wirelessly with the Dual Wireless Charging Pad from Nimble! Made from eco-friendly materials like fabric from recycled water bottles & organic hemp, and a bioplastic interior, this device charges newer iPhones, Samsungs, Androids, AirPods (2nd Generation) and Google Pixel 3 on contact. Advanced technology and built in thermal management means safe and efficient charging without a noisy fan! Plus, Nimble donates 1% of sales to environmental non-profits, and sends you an enveloRead Morepe to recycle 1 pound of e-waste for every product purchased!",86,charge your devices wirelessly with the dual wireless charging pad from nimble made from eco friendly materials like fabric from recycled water bottles organic hemp and bioplastic interior this device charges newer iphones samsungs androids airpods nd generation and google pixel on contact advanced technology and built in thermal management means safe and efficient charging without noisy fan plus nimble donates of sales to environmental non profits and sends you an enveloread morepe to recycle pound of waste for every product purchased,82,"['charge', 'your', 'devices', 'wirelessly', 'with', 'the', 'dual', 'wireless', 'charging', 'pad', 'from', 'nimble', 'made', 'from', 'eco', 'friendly', 'materials', 'like', 'fabric', 'from', 'recycled', 'water', 'bottles', 'organic', 'hemp', 'and', 'bioplastic', 'interior', 'this', 'device', 'charges', 'newer', 'iphones', 'samsungs', 'androids', 'airpods', 'nd', 'generation', 'and', 'google', 'pixel', 'on', 'contact', 'advanced', 'technology', 'and', 'built', 'in', 'thermal', 'management', 'means', 'safe', 'and', 'efficient', 'charging', 'without', 'noisy', 'fan', 'plus', 'nimble', 'donates', 'of', 'sales', 'to', 'environmental', 'non', 'profits', 'and', 'sends', 'you', 'an', 'enveloread', 'morepe', 'to', 'recycle', 'pound', 'of', 'waste', 'for', 'every', 'product', 'purchased']","['charge', 'your', 'device', 'wirelessly', 'with', 'the', 'dual', 'wireless', 'charge', 'pad', 'from', 'nimble', 'make', 'from', 'eco', 'friendly', 'material', 'like', 'fabric', 'from', 'recycle', 'water', 'bottle', 'organic', 'hemp', 'and', 'bioplastic', 'interior', 'this', 'device', 'charge', 'new', 'iphones', 'samsungs', 'android', 'airpods', 'nd', 'generation', 'and', 'google', 'pixel', 'on', 'contact', 'advance', 'technology', 'and', 'build', 'in', 'thermal', 'management', 'mean', 'safe', 'and', 'efficient', 'charge', 'without', 'noisy', 'fan', 'plus', 'nimble', 'donate', 'of', 'sale', 'to', 'environmental', 'non', 'profit', 'and', 'send', 'you', 'an', 'enveloread', 'morepe', 'to', 'recycle', 'pound', 'of', 'waste', 'for', 'every', 'product', 'purchase']",82,"['charge', 'device', 'wirelessly', 'dual', 'wireless', 'charge', 'pad', 'nimble', 'make', 'eco', 'friendly', 'material', 'like', 'fabric', 'recycle', 'water', 'bottle', 'organic', 'hemp', 'bioplastic', 'interior', 'device', 'charge', 'new', 'iphones', 'samsungs', 'android', 'airpods', 'nd', 'generation', 'google', 'pixel', 'contact', 'advance', 'technology', 'build', 'thermal', 'management', 'mean', 'safe', 'efficient', 'charge', 'noisy', 'fan', 'plus', 'nimble', 'donate', 'sale', 'environmental', 'non', 'profit', 'send', 'enveloread', 'morepe', 'recycle', 'pound', 'waste', 'product', 'purchase']",59,charge device wirelessly dual wireless charge pad nimble make eco friendly material like fabric recycle water bottle organic hemp bioplastic interior device charge new iphones samsungs android airpods nd generation google pixel contact advance technology build thermal management mean safe efficient charge noisy fan plus nimble donate sale environmental non profit send enveloread morepe recycle pound waste product purchase
8,Shelbizleee Compostable iPhone Pela Case,"Driven to reduce our world-wide dependence on petroleum, Jeremy Lang designed a creative alternative to a product we use every day. Pela’s phone cases are created using an innovative toxin-free, child-safe plant based material called Flaxstic. With beautiful, simple colors to choose from, you’ll be able to show your sustainable style in an elegant way. As a company, they’re striving towards constant improvement, aiming to reach better and more sustainable practices as they grow! By bringing an eco-friendly option to a product that we see and use regularly, they hope to play a part in bringing sustainability into the forefront of our everyday lives. ",104,driven to reduce our world wide dependence on petroleum jeremy lang designed creative alternative to product we use every day pela phone cases are created using an innovative toxin free child safe plant based material called flaxstic with beautiful simple colors to choose from you ll be able to show your sustainable style in an elegant way as company they re striving towards constant improvement aiming to reach better and more sustainable practices as they grow by bringing an eco friendly option to product that we see and use regularly they hope to play part in bringing sustainability into the forefront of our everyday lives,105,"['driven', 'to', 'reduce', 'our', 'world', 'wide', 'dependence', 'on', 'petroleum', 'jeremy', 'lang', 'designed', 'creative', 'alternative', 'to', 'product', 'we', 'use', 'every', 'day', 'pela', 'phone', 'cases', 'are', 'created', 'using', 'an', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'based', 'material', 'called', 'flaxstic', 'with', 'beautiful', 'simple', 'colors', 'to', 'choose', 'from', 'you', 'll', 'be', 'able', 'to', 'show', 'your', 'sustainable', 'style', 'in', 'an', 'elegant', 'way', 'as', 'company', 'they', 're', 'striving', 'towards', 'constant', 'improvement', 'aiming', 'to', 'reach', 'better', 'and', 'more', 'sustainable', 'practices', 'as', 'they', 'grow', 'by', 'bringing', 'an', 'eco', 'friendly', 'option', 'to', 'product', 'that', 'we', 'see', 'and', 'use', 'regularly', 'they', 'hope', 'to', 'play', 'part', 'in', 'bringing', 'sustainability', 'into', 'the', 'forefront', 'of', 'our', 'everyday', 'lives']","['drive', 'to', 'reduce', 'our', 'world', 'wide', 'dependence', 'on', 'petroleum', 'jeremy', 'lang', 'design', 'creative', 'alternative', 'to', 'product', 'we', 'use', 'every', 'day', 'pela', 'phone', 'case', 'be', 'create', 'use', 'an', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'base', 'material', 'call', 'flaxstic', 'with', 'beautiful', 'simple', 'color', 'to', 'choose', 'from', 'you', 'll', 'be', 'able', 'to', 'show', 'your', 'sustainable', 'style', 'in', 'an', 'elegant', 'way', 'a', 'company', 'they', 're', 'strive', 'towards', 'constant', 'improvement', 'aim', 'to', 'reach', 'good', 'and', 'more', 'sustainable', 'practice', 'a', 'they', 'grow', 'by', 'bring', 'an', 'eco', 'friendly', 'option', 'to', 'product', 'that', 'we', 'see', 'and', 'use', 'regularly', 'they', 'hope', 'to', 'play', 'part', 'in', 'bring', 'sustainability', 'into', 'the', 'forefront', 'of', 'our', 'everyday', 'life']",105,"['drive', 'reduce', 'world', 'wide', 'dependence', 'petroleum', 'jeremy', 'lang', 'design', 'creative', 'alternative', 'product', 'use', 'day', 'pela', 'phone', 'case', 'create', 'use', 'innovative', 'toxin', 'free', 'child', 'safe', 'plant', 'base', 'material', 'flaxstic', 'beautiful', 'simple', 'color', 'choose', 'll', 'able', 'sustainable', 'style', 'elegant', 'way', 'company', 'strive', 'constant', 'improvement', 'aim', 'reach', 'good', 'sustainable', 'practice', 'grow', 'bring', 'eco', 'friendly', 'option', 'product', 'use', 'regularly', 'hope', 'play', 'bring', 'sustainability', 'forefront', 'everyday', 'life']",62,drive reduce world wide dependence petroleum jeremy lang design creative alternative product use day pela phone case create use innovative toxin free child safe plant base material flaxstic beautiful simple color choose ll able sustainable style elegant way company strive constant improvement aim reach good sustainable practice grow bring eco friendly option product use regularly hope play bring sustainability forefront everyday life
9,PowerKnit USB-C to Lightning Charging Cable,"Did you know that 50 million tonnes of e-waste are projected to end up in our landfills each year? In America alone, E-waste represents 70% of all toxic waste found in landfills. Nimble has set out to change the status quo by creating a sustainable pathway for all tech companies to follow by creating high quality tech products using low impact materials. From their plastic free packaging and use of recycled materials, to their e-waste recycling program and ethical labor standards, Nimble puts people and planet first in all aspects of their business. Nimble believes that all customers should know how their products are made, where they come from, and the impact they have on the world. Stop e-waste with Nimble! ",121,did you know that million tonnes of waste are projected to end up in our landfills each year in america alone waste represents of all toxic waste found in landfills nimble has set out to change the status quo by creating sustainable pathway for all tech companies to follow by creating high quality tech products using low impact materials from their plastic free packaging and use of recycled materials to their waste recycling program and ethical labor standards nimble puts people and planet first in all aspects of their business nimble believes that all customers should know how their products are made where they come from and the impact they have on the world stop waste with nimble,118,"['did', 'you', 'know', 'that', 'million', 'tonnes', 'of', 'waste', 'are', 'projected', 'to', 'end', 'up', 'in', 'our', 'landfills', 'each', 'year', 'in', 'america', 'alone', 'waste', 'represents', 'of', 'all', 'toxic', 'waste', 'found', 'in', 'landfills', 'nimble', 'has', 'set', 'out', 'to', 'change', 'the', 'status', 'quo', 'by', 'creating', 'sustainable', 'pathway', 'for', 'all', 'tech', 'companies', 'to', 'follow', 'by', 'creating', 'high', 'quality', 'tech', 'products', 'using', 'low', 'impact', 'materials', 'from', 'their', 'plastic', 'free', 'packaging', 'and', 'use', 'of', 'recycled', 'materials', 'to', 'their', 'waste', 'recycling', 'program', 'and', 'ethical', 'labor', 'standards', 'nimble', 'puts', 'people', 'and', 'planet', 'first', 'in', 'all', 'aspects', 'of', 'their', 'business', 'nimble', 'believes', 'that', 'all', 'customers', 'should', 'know', 'how', 'their', 'products', 'are', 'made', 'where', 'they', 'come', 'from', 'and', 'the', 'impact', 'they', 'have', 'on', 'the', 'world', 'stop', 'waste', 'with', 'nimble']","['do', 'you', 'know', 'that', 'million', 'tonne', 'of', 'waste', 'be', 'project', 'to', 'end', 'up', 'in', 'our', 'landfill', 'each', 'year', 'in', 'america', 'alone', 'waste', 'represent', 'of', 'all', 'toxic', 'waste', 'find', 'in', 'landfill', 'nimble', 'ha', 'set', 'out', 'to', 'change', 'the', 'status', 'quo', 'by', 'create', 'sustainable', 'pathway', 'for', 'all', 'tech', 'company', 'to', 'follow', 'by', 'create', 'high', 'quality', 'tech', 'product', 'use', 'low', 'impact', 'material', 'from', 'their', 'plastic', 'free', 'package', 'and', 'use', 'of', 'recycle', 'material', 'to', 'their', 'waste', 'recycle', 'program', 'and', 'ethical', 'labor', 'standard', 'nimble', 'put', 'people', 'and', 'planet', 'first', 'in', 'all', 'aspect', 'of', 'their', 'business', 'nimble', 'belief', 'that', 'all', 'customer', 'should', 'know', 'how', 'their', 'product', 'be', 'make', 'where', 'they', 'come', 'from', 'and', 'the', 'impact', 'they', 'have', 'on', 'the', 'world', 'stop', 'waste', 'with', 'nimble']",118,"['know', 'million', 'tonne', 'waste', 'project', 'end', 'landfill', 'year', 'america', 'waste', 'represent', 'toxic', 'waste', 'landfill', 'nimble', 'ha', 'set', 'change', 'status', 'quo', 'create', 'sustainable', 'pathway', 'tech', 'company', 'follow', 'create', 'high', 'quality', 'tech', 'product', 'use', 'low', 'impact', 'material', 'plastic', 'free', 'package', 'use', 'recycle', 'material', 'waste', 'recycle', 'program', 'ethical', 'labor', 'standard', 'nimble', 'people', 'planet', 'aspect', 'business', 'nimble', 'belief', 'customer', 'know', 'product', 'make', 'come', 'impact', 'world', 'stop', 'waste', 'nimble']",64,know million tonne waste project end landfill year america waste represent toxic waste landfill nimble ha set change status quo create sustainable pathway tech company follow create high quality tech product use low impact material plastic free package use recycle material waste recycle program ethical labor standard nimble people planet aspect business nimble belief customer know product make come impact world stop waste nimble
